brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,touchscreen,msoffice,price,rating,no_ratings,no_reviews
Lenovo,Intel,Core i3,11,4,DDR4,512,0,Windows,64-bit,0,Casual,1,True,True,10439820,3,10,2
DELL,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,0,False,False,8267400,3,0,0
HP,Intel,Core i3,11,8,DDR4,512,0,Windows,64-bit,0,Casual,1,True,True,9988200,4,143,15
ASUS,Intel,Core i3,10,8,DDR4,0,1024,Windows,64-bit,0,Casual,1,False,False,5920200,3,28,4
Lenovo,Intel,Core i3,10,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,6478200,4,2124,233
DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,0,False,False,7648200,4,276,40
DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,0,False,False,7594200,3,250,21
DELL,Intel,Core i3,10,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,7108200,4,1917,189
HP,Intel,Core i3,11,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,7864200,4,4999,490
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,Casual,1,False,False,6478200,3,17,0
DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,7884000,4,17,0
Lenovo,Intel,Core i3,10,8,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,7018200,3,0,0
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,False,6298200,3,4203,490
ASUS,Intel,Core i3,11,8,DDR4,0,1024,Windows,64-bit,0,Casual,1,False,False,7002000,3,13,0
DELL,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,False,7198200,3,15,1
DELL,Intel,Core i3,10,4,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,7360200,4,527,46
Lenovo,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,False,6658200,3,103,10
HP,Intel,Core i3,11,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,7198200,3,324,45
HP,Intel,Core i3,11,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,7558200,4,69,5
DELL,Intel,Core i3,11,4,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,7914600,3,16,0
HP,Intel,Core i3,11,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,False,7162200,3,40,3
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,32-bit,0,ThinNlight,0,False,False,6406200,3,12,1
HP,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,6568200,3,1146,175
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,7018200,4,1850,216
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,32-bit,0,ThinNlight,0,False,False,6118200,3,43,7
DELL,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,Casual,1,False,True,7812000,4,231,26
ASUS,Intel,Celeron Dual,10,4,LPDDR4,0,512,Windows,32-bit,0,Casual,0,False,False,4498200,4,502,93
HP,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,7335000,4,1096,116
DELL,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,7740000,4,313,35
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,Casual,0,False,False,6840000,4,7,0
DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,1,False,True,6838200,3,265,46
HP,Intel,Core i3,7,8,DDR4,0,1024,Windows,64-bit,2,Casual,0,False,False,8870220,4,38,3
Lenovo,Intel,Core i3,10,8,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,7019820,3,7,2
ASUS,Intel,Core i3,11,8,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,7470000,3,4,0
Acer,Intel,Core i3,11,4,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,6659820,3,0,0
DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,7722000,3,0,0
ASUS,Intel,Celeron Dual,10,4,LPDDR4,0,512,Windows,32-bit,0,Casual,0,False,False,3868200,3,818,113
DELL,Intel,Core i3,11,8,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,7466400,3,25,4
ASUS,Intel,Core i3,10,8,DDR4,0,1024,Windows,64-bit,0,Casual,0,False,False,5938200,2,12,0
ASUS,Intel,Core i3,11,8,DDR4,0,1024,Windows,64-bit,0,Casual,1,False,False,6962400,3,17,1
ASUS,Intel,Celeron Dual,10,4,LPDDR4,0,512,Windows,32-bit,0,Casual,0,False,False,4318200,4,974,170
DELL,Intel,Core i3,10,8,DDR4,0,1024,Windows,64-bit,0,ThinNlight,0,False,False,7270200,3,83,15
ASUS,Intel,Core i3,10,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,0,False,False,6118200,3,31,6
ASUS,Intel,Celeron Dual,10,4,LPDDR4,0,512,Windows,32-bit,0,Casual,0,False,False,3688200,3,637,91
DELL,Intel,Core i3,10,8,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,False,True,7468200,5,7,5
DELL,Intel,Core i3,11,8,DDR4,256,1024,Windows,64-bit,0,Casual,0,False,False,8188200,4,207,16
DELL,Intel,Core i3,11,8,DDR4,256,1024,Windows,64-bit,0,Casual,0,False,False,8008200,4,844,103
ASUS,Intel,Core i3,11,8,DDR4,256,1024,Windows,64-bit,0,Casual,1,False,True,7540200,4,53,6
DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,False,True,7738200,4,62,7
Acer,Intel,Core i3,11,8,DDR4,256,1024,Windows,64-bit,0,Casual,0,False,False,7378200,4,38,2
DELL,Intel,Core i3,11,8,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,False,False,8818200,4,724,92
